SIREN,NIC,L1_NORMALISEE,L2_NORMALISEE,L3_NORMALISEE,L4_NORMALISEE,L5_NORMALISEE,L6_NORMALISEE,L7_NORMALISEE,L1_DECLAREE,L2_DECLAREE,L3_DECLAREE,L4_DECLAREE,L5_DECLAREE,L6_DECLAREE,L7_DECLAREE,NUMVOIE,INDREP,TYPVOIE,LIBVOIE,CODPOS,CEDEX,DEPET,COMET,TCD,SIEGE,ENSEIGNE,IND_PUBLIPO,DIFFCOM,AMINTRET,NATETAB,APET700,DAPET,TEFET,EFETCENT,DEFET,ORIGINE,DCRET,DDEBACT,ACTIVNAT,LIEUACT,ACTISURF,SAISONAT,MODET,PRODET,PRODPART,AUXILT,NOMEN_LONG,SIGLE,NOM,PRENOM,CIVILITE,RNA,NICSIEGE,RPEN,DEPCOMEN,ADR_MAIL,NJ,APEN700,DAPEN,APRM,ESS,DATEESS,TEFEN,EFENCENT,DEFEN,CATEGORIE,DCREN,AMINTREN,MONOACT,MODEN,PRODEN,ESAANN,TCA,ESAAPEN,ESASEC1N,ESASEC2N,ESASEC3N,ESASEC4N,VMAJ,VMAJ1,VMAJ2,VMAJ3,DATEMAJ,longitude,latitude,geo_score,geo_type,geo_adresse,geo_id,geo_ligne
006280234,00169,LE GAL,MARBRERIE DES PAYS DE VILAINE,ZONE INDUSTRIELLE DE BRIANGAUD,14 RUE DE BRIANGAUD,,35600 REDON,FRANCE,LE GAL,MARBRERIE DES PAYS DE VILAINE,ZI DE BRIANGAUD,14 RUE DE BRIANGAUD,,35600 REDON,,14,,RUE,DE BRIANGAUD,35600,,35,236,22,0,MARBRERIE DES PAYS DE VILAINE,1,O,201209,,2370Z,2012,02,3,2016,3,20120618,20120618,99,05,,P,S,O,,0,LE GAL,,,,,,00094,52,44103,,5710,4399D,2013,,,,12,20,2016,ETI,19620101,201209,3,S,O,,,,,,,,,,,,2012-07-12T00:00:00,-2.070161,47.671889,0.93,housenumber,14 Rue de Briangaud 35600 Redon,ADRNIVX_0000000358055284,G
007080773,00034,CARRIERS MEN ARVOR,,,LE VIEUX BOURG,,35550 ST JUST,FRANCE,CARRIERS MEN ARVOR,,,LE VIEUX BOURG,,35550 SAINT JUST,,,,,LE VIEUX BOURG,35550,,35,285,13,0,,1,O,201209,,2370Z,2008,02,3,2016,,19000101,19000101,NR,99,,P,S,O,,0,CARRIERS MEN ARVOR,,,,,,00018,52,44007,,5710,0811Z,2008,,,,21,50,2016,PME,19700101,201209,3,S,O,2014,4,0811Z,4673A,0811Z,4644Z,4941B,,,,,1970-01-01T00:00:00,-1.997442,47.760546,0.91,street,Le Vieux Bourg 35550 Saint-Just,35285_B109_62ec7e,G
007080773,00182,CARRIERS MEN ARVOR,DOLMEN RENNES PACE,,RUE JEAN HOLLIER,,35740 PACE,FRANCE,CARRIERS MEN ARVOR,DOLMEN RENNES PACE,,RUE JEAN HOLLIER,,35740 PACE,,,,RUE,JEAN HOLLIER,35740,,35,210,31,0,DOLMEN RENNES PACE,1,O,201209,,4673A,2008,02,3,2016,1,19950501,19950501,NR,99,,P,S,O,,0,CARRIERS MEN ARVOR,,,,,,00018,52,44007,,5710,0811Z,2008,,,,21,50,2016,PME,19700101,201209,3,S,O,2014,4,0811Z,4673A,0811Z,4644Z,4941B,,,,,2007-04-04T00:00:00,-1.76804,48.144913,0.91,street,Rue Jean Hollier 35740 Pacé,35210_0241_c2e820,G
007080773,00281,CARRIERS MEN ARVOR,DOLMEN DINARD,,ZONE ARTISANALE DE L HERMITAGE,,35780 LA RICHARDAIS,FRANCE,CARRIERS MEN ARVOR,DOLMEN DINARD,,ZAC DE L'HERMITAGE,,35780 LA RICHARDAIS,,,,,ZAC DE L'HERMITAGE,35780,,35,241,15,0,DOLMEN DINARD,1,O,201209,,4673A,2008,01,1,2016,1,20050201,20050201,NR,99,,P,S,O,,1,CARRIERS MEN ARVOR,,,,,,00018,52,44007,,5710,0811Z,2008,,,,21,50,2016,PME,19700101,201209,3,S,O,2014,4,0811Z,4673A,0811Z,4644Z,4941B,,,,,2007-04-04T00:00:00,-2.055357,48.60992,0.76,locality,"Rue de l'Hermitage, ZA DE L'HERMITAGE 35780 La Richardais",35241_XXXX_0512a3,G
007280191,00037,VINOUZE,,,7 CHEMIN DU THUET,,35600 REDON,FRANCE,VINOUZE,,,7 CHE DU THUET,,35600 REDON,,7,,,CHE DU THUET,35600,,35,236,22,1,,1,O,201209,,6820B,2008,00,NN,2006,1,20061227,20061227,,,,P,S,O,,0,VINOUZE,,,,,,00037,53,35236,,5599,6820B,2008,,,,00,0,2006,PME,19720101,201209,1,S,O,,,,,,,,,,,,2008-08-27T00:00:00,-2.082012,47.664923,0.8,housenumber,7 Chemin du Thuet 35600 Redon,ADRNIVX_0000000358056586,G
009731712,00015,ASS COPROPRIETE,,,18 RUE MICHELET,,35700 RENNES,FRANCE,ASS. COPROPRIETE,,,18 RUE MICHELET,,35700 RENNES,,18,,RUE,MICHELET,35700,,35,238,71,1,,0,O,201209,,8110Z,2008,01,1,2016,1,19941225,19941225,NR,99,,P,S,N,,0,ASS. COPROPRIETE,,,,,,00015,53,35238,,9110,8110Z,2008,,,,01,1,2016,PME,19941225,201209,1,S,N,,,,,,,,,,,,2016-02-08T00:00:00,-1.653745,48.116382,0.94,housenumber,18 Rue Michelet 35700 Rennes,ADRNIVX_0000000262164827,G
009732900,00015,SYND DE COPROPRIETE,,,11 SQUARE DES HAUTES OURMES,,35200 RENNES,FRANCE,SYND DE COPROPRIETE,,,11 SQ DES HAUTES OURMES,,35200 RENNES,,11,,SQ,DES HAUTES OURMES,35200,,35,238,71,1,,0,O,201209,,8110Z,2008,00,0,2004,1,19941225,19941225,NR,99,,P,S,N,,0,SYND DE COPROPRIETE,,,,,,00015,53,35238,,9110,8110Z,2008,,,,00,0,2004,,19941225,201209,1,S,N,,,,,,,,,,,,1999-01-04T00:00:00,-1.646294,48.088116,0.85,housenumber,11 Square des Hautes Ourmes 35200 Rennes,ADRNIVX_0000000262224471,G
009732918,00017,COPRO IM AR STEREDEN,,,15 QUAI DUGUAY TROUIN,,35400 ST MALO,FRANCE,COPRO IM AR STEREDEN,,,15 QUAI DUGUAY TROUIN,,35400 SAINT MALO,,15,,QUAI,DUGUAY TROUIN,35400,,35,288,44,1,,0,O,201209,,8110Z,2008,00,0,2005,1,19941225,19941225,NR,99,,P,S,N,,0,COPRO IM AR STEREDEN,,,,,,00017,53,35288,,9110,8110Z,2008,,,,00,0,2005,,19941225,201209,1,S,N,,,,,,,,,,,,2005-05-02T00:00:00,-2.01598,48.651776,0.93,housenumber,15 Quai Duguay-Trouin 35400 Saint-Malo,ADRNIVX_0000000261867383,G
009733122,00015,COPRO IM RES ARMORICAINE,,RESIDENCE ARMORICAINE,46 COURS PDT J FITZGERALD KENNEDY,,35000 RENNES,FRANCE,COPRO IM RES ARMORICAINE,,RESIDENCE ARMORICAINE,46 CRS PRESIDENT JF KENNEDY,,35000 RENNES,,46,,,CRS PRESIDENT JF KENNEDY,35000,,35,238,71,1,,0,O,201209,,8110Z,2008,01,1,2016,1,19941225,19941225,NR,99,,P,S,N,,0,COPRO IM RES ARMORICAINE,,,,,,00015,53,35238,,9110,8110Z,2008,,,,01,1,2016,PME,19941225,201209,1,S,N,,,,,,,,,,,,1995-11-24T00:00:00,-1.711789,48.121419,0.76,housenumber,46 Cours John Fitzgerald Kennedy 35000 Rennes,ADRNIVX_0000000350365021,N
009733189,00014,COPRO IM MERMOZ,,,55 BOULEVARD JEAN MERMOZ,,35136 ST JACQUES DE LA LANDE,FRANCE,COPRO IM MERMOZ,,,55 BD JEAN MERMOZ,,35136 SAINT JACQUES DE LA LANDE,,55,,BD,JEAN MERMOZ,35136,,35,281,31,1,,0,O,201209,,8110Z,2008,01,1,2016,1,19941225,19941225,NR,99,,P,S,N,,0,COPRO IM MERMOZ,,,,,,00014,53,35281,,9110,8110Z,2008,,,,01,1,2016,PME,19941225,201209,1,S,N,,,,,,,,,,,,2016-01-26T00:00:00,-1.694543,48.095638,0.81,housenumber,55 Boulevard Jean Mermoz 35136 Saint-Jacques-de-la-Lande,ADRNIVX_0000000262207647,G
009733205,00018,COPRO IM RES BEAUVALLON,,,CHE DE L HOTEL DE BEAUVALLON,,35800 DINARD,,COPRO IM RES BEAUVALLON,,,CHE DE L HOTEL DE BEAUVALLON,,35800 DINARD,,,,CHE,DE L HOTEL DE BEAUVALLON,35800,,35,093,22,1,,0,O,201209,,8110Z,2008,00,0,2004,1,19941225,19941225,NR,99,,P,S,N,,0,COPRO IM RES BEAUVALLON,,,,,,00018,53,35093,,9110,8110Z,2008,,,,00,0,2004,,19941225,201209,1,S,N,,,,,,,,,,,,1997-03-04T00:00:00,-2.061892,48.625178,0,municipality,,35093,
